Cluster,Rating,Votes,Approx Cost,Dishes Liked,Cuisines,Count
7,4.000760679,498.0965477,672.7325922,6.57284962,2.910473961,1709
4,3.8208,338.936,763.28,4.464,2.9568,625
6,3.552333333,145.2466667,445.8333333,2.693333333,2.393333333,300
3,3.531818182,105.1136364,498.8636364,2.522727273,2.204545455,44
2,3.507071547,95.48918469,457.0715474,2.513311148,2.135607321,1202
1,3.470192308,53.59178322,385.6051136,1.53715035,2.184440559,4576
5,3.45520362,112.8597285,486.4253394,2.081447964,2.531674208,442
