"listed_in_type","listed_in_city","online_order","book_table",".cluster","count_ofrestaurants","rate","votes","approx_cost_for_two_people","num_of_dish_liked","num_of_cuisines"
"Dine-out","Malleshwaram","Yes","No",2,20,3.665,131.6,380,3.2,2.35
"Delivery","Lavelle Road","Yes","No",1,13,3.66153846153846,67.3846153846154,423.076923076923,1.76923076923077,2.23076923076923
"Dine-out","Rajajinagar","Yes","No",2,7,3.65714285714286,204.285714285714,592.857142857143,2.14285714285714,2.28571428571429
"Cafes","Koramangala 4th Block","No","No",4,13,3.65384615384615,195.461538461538,530.769230769231,4.46153846153846,2.38461538461538
"Cafes","Lavelle Road","Yes","No",4,2,3.65,48,350,2,2
"Desserts","Rajajinagar","No","No",1,9,3.62222222222222,42.6666666666667,277.777777777778,1.11111111111111,2.11111111111111
"Desserts","Brigade Road","Yes","No",1,10,3.62,45.3,350,1.5,2
"Dine-out","HSR","Yes","No",6,11,3.61818181818182,222,495.454545454545,3.36363636363636,2.45454545454545
"Cafes","Frazer Town","No","No",4,6,3.61666666666667,55.1666666666667,658.333333333333,3.83333333333333,2.33333333333333
"Dine-out","Church Street","No","No",2,6,3.61666666666667,23.3333333333333,183.333333333333,1,1.16666666666667
"Dine-out","Banashankari","No","No",2,64,3.615625,86.8125,329.6875,2.765625,1.875
"Dine-out","Banashankari","Yes","No",2,7,3.61428571428571,195.428571428571,457.142857142857,4,1.71428571428571
"Dine-out","Jayanagar","No","No",2,21,3.61428571428571,46.5714285714286,373.809523809524,2.85714285714286,2
"Cafes","HSR","No","No",6,10,3.61,211.7,615,3.8,2.9
"Cafes","Banashankari","No","No",4,8,3.6,95.25,518.75,2.625,2.375
"Cafes","Old Airport Road","No","No",3,1,3.6,18,300,1,1
"Delivery","Bellandur","No","Yes",1,1,3.6,32,650,1,1
"Delivery","New BEL Road","Yes","Yes",1,3,3.6,76,1183.33333333333,1,2.66666666666667
"Desserts","Banashankari","No","No",1,10,3.6,29.5,240,1,2.1
"Desserts","Bellandur","Yes","No",1,3,3.6,38.6666666666667,433.333333333333,1.33333333333333,2.33333333333333
"Desserts","Church Street","No","No",1,5,3.6,32.2,320,1.2,2
"Desserts","Frazer Town","Yes","No",1,3,3.6,23.3333333333333,283.333333333333,1,1.66666666666667
"Desserts","Sarjapur Road","Yes","No",1,4,3.6,66,412.5,2,2
"Dine-out","Electronic City","Yes","Yes",5,1,3.6,778,850,7,2
"Dine-out","Koramangala 4th Block","Yes","No",2,10,3.6,242.6,430,4.6,2.4
"Dine-out","Koramangala 5th Block","Yes","No",2,2,3.6,64,525,2,1.5
"Buffet","Malleshwaram","Yes","No",4,2,3.6,295,750,4,2
"Desserts","Malleshwaram","No","No",1,20,3.595,30.35,242.5,1.45,1.6
"Dine-out","Malleshwaram","No","No",2,69,3.58840579710145,117.565217391304,436.231884057971,2.57971014492754,2.01449275362319
"Cafes","Bannerghatta Road","Yes","No",4,16,3.5875,74.0625,531.25,2.9375,3.5625
"Desserts","Malleshwaram","Yes","No",1,7,3.58571428571429,51.2857142857143,335.714285714286,1.57142857142857,2.14285714285714
"Dine-out","Old Airport Road","No","No",3,5,3.58,56.8,460,2.2,2.4
"Delivery","Lavelle Road","No","No",1,9,3.57777777777778,43.6666666666667,544.444444444444,1.55555555555556,2.33333333333333
"Dine-out","Brigade Road","Yes","No",2,13,3.57692307692308,138.384615384615,515.384615384615,4.07692307692308,2.61538461538462
"Desserts","Brigade Road","No","No",1,22,3.57272727272727,28.1818181818182,320.454545454545,1.31818181818182,1.68181818181818
"Desserts","Brookefield","Yes","No",1,7,3.57142857142857,36.2857142857143,335.714285714286,1.57142857142857,2
"Dine-out","JP Nagar","Yes","No",2,9,3.56666666666667,159.666666666667,577.777777777778,4,2.22222222222222
"Delivery","Basavanagudi","Yes","No",1,98,3.56632653061224,59.4387755102041,337.244897959184,1.64285714285714,2.14285714285714
"Delivery","Rajajinagar","Yes","No",1,64,3.565625,68.65625,379.6875,1.34375,2.375
"Cafes","Brookefield","Yes","No",4,11,3.56363636363636,150.727272727273,536.363636363636,3.81818181818182,3
"Buffet","Electronic City","Yes","Yes",5,2,3.55,422,850,7,4
"Delivery","Brookefield","Yes","Yes",1,2,3.55,130,550,3.5,1.5
"Desserts","Kammanahalli","Yes","No",1,2,3.55,45,350,1,2
"Dine-out","Electronic City","Yes","No",5,16,3.54375,242.1875,487.5,2.8125,2.1875
"Desserts","BTM","No","No",1,19,3.54210526315789,23.1052631578947,289.473684210526,1.10526315789474,2.10526315789474
"Delivery","Banashankari","Yes","No",1,220,3.53636363636364,66.1318181818182,324.995454545455,1.60909090909091,2.28636363636364
"Delivery","Church Street","No","No",1,15,3.53333333333333,52.5333333333333,373.333333333333,1.86666666666667,2
"Delivery","Kalyan Nagar","Yes","Yes",1,6,3.53333333333333,75,816.666666666667,1.83333333333333,3
"Delivery","Koramangala 6th Block","No","No",1,3,3.53333333333333,41.3333333333333,316.666666666667,1,2.33333333333333
"Desserts","Bannerghatta Road","Yes","No",1,3,3.53333333333333,82.3333333333333,400,2,2.66666666666667
"Desserts","Old Airport Road","No","No",3,3,3.53333333333333,53.6666666666667,633.333333333333,1.33333333333333,2.33333333333333
"Desserts","Sarjapur Road","No","No",1,3,3.53333333333333,21.3333333333333,266.666666666667,1.33333333333333,1
"Delivery","Malleshwaram","Yes","No",1,233,3.53047210300429,72.6695278969957,376.480686695279,1.57510729613734,2.27896995708155
"Dine-out","Basavanagudi","Yes","No",2,10,3.53,142.2,415,1.6,2.1
"Desserts","Indiranagar","No","No",1,17,3.52941176470588,31.8823529411765,291.176470588235,1.47058823529412,1.94117647058824
"Delivery","BTM","Yes","No",1,401,3.52892768079801,54.7905236907731,379.052369077307,1.44887780548628,2.24688279301746
"Dine-out","Lavelle Road","No","No",2,40,3.5275,52.6,511.25,2.05,2.25
"Delivery","Jayanagar","Yes","No",1,17,3.52352941176471,66.1176470588235,382.352941176471,1.76470588235294,2.47058823529412
"Dine-out","Indiranagar","No","No",2,62,3.51774193548387,62.6935483870968,412.096774193548,1.98387096774194,2
"Delivery","Frazer Town","Yes","No",1,86,3.51744186046512,59.2790697674419,387.790697674419,1.67441860465116,2.23255813953488
"Delivery","Koramangala 4th Block","Yes","No",1,25,3.516,76.28,393.6,1.96,2.36
"Dine-out","Brookefield","Yes","No",2,22,3.51363636363636,253.909090909091,452.272727272727,4.40909090909091,2.77272727272727
"Delivery","New BEL Road","Yes","No",1,83,3.51204819277108,62.421686746988,378.313253012048,1.66265060240964,2.19277108433735
"Delivery","HSR","Yes","No",6,127,3.51023622047244,127.173228346457,433.858267716535,2.26771653543307,2.45669291338583
"Dine-out","Jayanagar","Yes","No",2,13,3.50769230769231,275.769230769231,488.461538461538,4.38461538461539,2.38461538461538
"Dine-out","New BEL Road","No","No",2,20,3.505,67.9,430,1.9,1.9
"Dine-out","Basavanagudi","No","No",2,44,3.50227272727273,65.5681818181818,312.5,2.34090909090909,1.81818181818182
"Buffet","Jayanagar","No","No",4,1,3.5,44,1000,1,2
"Cafes","JP Nagar","Yes","No",4,1,3.5,27,650,1,1
"Cafes","Koramangala 4th Block","Yes","No",4,4,3.5,121,537.5,4,2.5
"Cafes","Rajajinagar","No","No",4,2,3.5,135,450,4,3.5
"Delivery","Malleshwaram","Yes","Yes",1,1,3.5,107,1200,1,4
"Delivery","Residency Road","Yes","No",1,4,3.5,19.5,525,1.75,2
"Desserts","Rajajinagar","Yes","No",1,1,3.5,14,400,1,1
"Dine-out","Kammanahalli","No","No",2,1,3.5,32,200,1,1
"Dine-out","Marathahalli","Yes","No",2,7,3.5,174.857142857143,542.857142857143,3.14285714285714,2
"Dine-out","Whitefield","Yes","No",2,17,3.5,146.882352941176,500,4.17647058823529,2.64705882352941
"Delivery","Electronic City","Yes","No",5,203,3.49950738916256,144.137931034483,420.443349753695,2.2807881773399,2.6551724137931
"Delivery","Sarjapur Road","Yes","No",1,22,3.49545454545455,45.8636363636364,429.545454545455,1.72727272727273,2.13636363636364
"Dine-out","Brookefield","No","No",2,33,3.49393939393939,50.9393939393939,462.121212121212,2.18181818181818,2.03030303030303
"Dine-out","Brigade Road","No","No",2,96,3.49375,92.4375,505.729166666667,2.61458333333333,2.17708333333333
"Cafes","Brookefield","No","No",4,12,3.49166666666667,94.1666666666667,516.666666666667,2.41666666666667,2.08333333333333
"Dine-out","Frazer Town","No","No",2,20,3.49,23.65,427.5,1.2,2.05
"Delivery","Bannerghatta Road","Yes","No",1,406,3.48349753694581,61.4187192118227,375.394088669951,1.5320197044335,2.23891625615764
"Delivery","Basavanagudi","No","No",1,33,3.48181818181818,25,351.515151515152,1.15151515151515,2.03030303030303
"Delivery","Old Airport Road","Yes","No",3,15,3.47333333333333,132,503.333333333333,2.86666666666667,2.06666666666667
"Desserts","Marathahalli","No","No",1,7,3.47142857142857,69.8571428571429,300,2.57142857142857,2.28571428571429
"Dine-out","Koramangala 7th Block","No","No",2,7,3.47142857142857,64.8571428571429,350,2.28571428571429,1.85714285714286
"Delivery","Banashankari","No","No",1,44,3.47045454545455,42.3409090909091,364.772727272727,1.47727272727273,1.77272727272727
"Delivery","Koramangala 4th Block","No","No",1,53,3.46981132075472,44.8301886792453,388.679245283019,1.67924528301887,2.16981132075472
"Dine-out","HSR","No","No",6,23,3.4695652173913,66.9130434782609,302.173913043478,2.08695652173913,1.73913043478261
"Delivery","Whitefield","Yes","No",1,84,3.46785714285714,55.6428571428571,405.952380952381,1.54761904761905,2.39285714285714
"Delivery","Brigade Road","No","No",1,55,3.46727272727273,26.1454545454545,359.090909090909,1.34545454545455,2.03636363636364
"Delivery","Indiranagar","Yes","No",1,146,3.46712328767123,55.7671232876712,362.328767123288,1.49315068493151,2.07534246575342
"Delivery","Kammanahalli","No","No",1,6,3.46666666666667,15.6666666666667,233.333333333333,1,1.66666666666667
"Delivery","Church Street","Yes","No",1,22,3.46363636363636,61.6818181818182,386.363636363636,2.54545454545455,2.63636363636364
"Desserts","Kalyan Nagar","No","No",1,13,3.46153846153846,23.7692307692308,353.846153846154,1.07692307692308,1.92307692307692
"Buffet","Brookefield","No","No",4,10,3.46,49.9,1080,1.8,3.3
"Cafes","Marathahalli","No","No",4,5,3.46,44.6,450,1.2,3
"Delivery","HSR","No","No",6,84,3.45952380952381,95.4761904761905,388.095238095238,2.23809523809524,2.0952380952381
"Dine-out","Kalyan Nagar","No","No",2,43,3.45813953488372,45.4883720930233,395.348837209302,2,2
"Delivery","Koramangala 6th Block","Yes","No",1,7,3.45714285714286,81.4285714285714,492.857142857143,2,2.14285714285714
"Delivery","Brigade Road","Yes","No",1,212,3.45566037735849,48.9622641509434,392.405660377359,1.50471698113208,2.10849056603774
"Desserts","Brookefield","No","No",1,9,3.45555555555556,16.6666666666667,283.333333333333,1.33333333333333,1.77777777777778
"Delivery","Bellandur","Yes","No",1,292,3.45479452054795,64.6849315068493,400.856164383562,1.82191780821918,2.25684931506849
"Dine-out","BTM","No","No",2,99,3.45252525252525,46.1818181818182,392.626262626263,1.85858585858586,2
"Delivery","Kalyan Nagar","Yes","No",1,223,3.45067264573991,68.3452914798206,421.748878923767,1.7219730941704,2.26008968609865
"Delivery","Indiranagar","Yes","Yes",1,2,3.45,150,600,1.5,3
"Desserts","Banashankari","Yes","No",1,4,3.45,65.75,337.5,1.5,2.5
"Desserts","Bannerghatta Road","No","No",1,20,3.45,30.6,295,1.3,1.9
"Desserts","Bellandur","No","No",1,10,3.45,18.6,370,1.3,2
"Desserts","Kalyan Nagar","Yes","No",1,2,3.45,64,350,1,1.5
"Dine-out","Bannerghatta Road","Yes","No",2,16,3.4375,129.375,406.25,2.5625,2.1875
"Delivery","Frazer Town","No","No",1,30,3.43666666666667,34.9333333333333,421.666666666667,1.36666666666667,1.93333333333333
"Delivery","Brookefield","Yes","No",1,356,3.43511235955056,65.6432584269663,406.179775280899,1.51966292134831,2.19943820224719
"Delivery","Marathahalli","Yes","No",1,74,3.43378378378378,62.8918918918919,395.945945945946,1.75675675675676,2.33783783783784
"Dine-out","Kalyan Nagar","Yes","No",2,9,3.43333333333333,289.555555555556,500,4.22222222222222,2.55555555555556
"Delivery","Sarjapur Road","No","No",1,26,3.43076923076923,25.0769230769231,465.384615384615,1.23076923076923,2.46153846153846
"Dine-out","JP Nagar","No","No",2,10,3.43,16.3,260,1,1.8
"Delivery","Kalyan Nagar","No","No",1,76,3.42894736842105,33.0263157894737,407.236842105263,1.36842105263158,2.14473684210526
"Delivery","Brigade Road","Yes","Yes",1,5,3.42,138.6,570,2.8,2.6
"Dine-out","Marathahalli","No","No",2,35,3.41714285714286,65.2,444.285714285714,1.8,2.34285714285714
"Dine-out","Rajajinagar","No","No",2,44,3.40681818181818,42.25,389.318181818182,1.52272727272727,2.11363636363636
"Delivery","Marathahalli","No","No",1,63,3.4015873015873,31.2063492063492,439.68253968254,1.26984126984127,2.01587301587302
"Cafes","New BEL Road","No","No",4,4,3.4,137,562.5,2.5,3.25
"Desserts","Koramangala 4th Block","No","No",1,5,3.4,7.8,300,1,1.8
"Desserts","Koramangala 6th Block","Yes","No",1,1,3.4,10,300,1,2
"Dine-out","Koramangala 5th Block","No","No",2,1,3.4,4,300,1,2
"Delivery","BTM","No","No",1,138,3.39927536231884,26.3260869565217,356.521739130435,1.22463768115942,2.10869565217391
"Delivery","Old Airport Road","No","No",3,10,3.39,55.5,330,2.1,2.1
"Delivery","Whitefield","No","No",1,66,3.38939393939394,27.6969696969697,428.787878787879,1.46969696969697,2.3030303030303
"Dine-out","Electronic City","No","No",5,55,3.38909090909091,24.5454545454545,542.727272727273,1.4,2.23636363636364
"Desserts","Electronic City","No","No",5,8,3.3875,26.5,368.75,1.75,2.375
"Dine-out","Koramangala 4th Block","No","No",2,31,3.38709677419355,71.5161290322581,482.258064516129,2.29032258064516,2.16129032258065
"Delivery","Kammanahalli","Yes","No",1,14,3.38571428571429,61.9285714285714,385.714285714286,1.57142857142857,2
"Delivery","New BEL Road","No","No",1,57,3.38245614035088,30.5087719298246,364.912280701754,1.40350877192982,2.10526315789474
"Cafes","Electronic City","Yes","No",5,10,3.38,80.8,515,3.7,3
"Desserts","Marathahalli","Yes","No",1,5,3.38,23.2,440,1,1.6
"Delivery","JP Nagar","Yes","No",1,13,3.37692307692308,56.3846153846154,434.615384615385,1.38461538461538,2.07692307692308
"Cafes","Basavanagudi","Yes","No",4,4,3.375,234.5,625,2.75,3
"Delivery","Rajajinagar","No","No",1,31,3.36774193548387,32.8709677419355,370.967741935484,1.38709677419355,1.93548387096774
"Delivery","Malleshwaram","No","No",1,48,3.36666666666667,34.7708333333333,448.958333333333,1.45833333333333,2.33333333333333
"Buffet","Brigade Road","No","No",4,17,3.36470588235294,160.352941176471,911.764705882353,3.29411764705882,2.88235294117647
"Buffet","Bellandur","No","No",4,7,3.35714285714286,443.714285714286,900,5.42857142857143,3.28571428571429
"Delivery","Indiranagar","No","No",1,82,3.35365853658537,36.7317073170732,393.780487804878,1.47560975609756,1.95121951219512
"Dine-out","Bellandur","No","No",2,34,3.35294117647059,72,383.823529411765,2.14705882352941,1.73529411764706
"Buffet","Bannerghatta Road","No","No",4,4,3.35,148,987.5,4,3.25
"Delivery","Bannerghatta Road","No","Yes",1,2,3.35,29.5,1000,1,2.5
"Delivery","JP Nagar","No","No",1,12,3.35,27.25,320.833333333333,1.16666666666667,1.91666666666667
"Delivery","Bannerghatta Road","Yes","Yes",1,2,3.35,81,600,3.5,3.5
"Dine-out","Whitefield","No","No",2,57,3.34736842105263,52.2280701754386,441.228070175439,1.80701754385965,1.92982456140351
"Dine-out","Bannerghatta Road","No","No",2,49,3.34081632653061,64.7755102040816,442.857142857143,2.26530612244898,2.12244897959184
"Buffet","Electronic City","No","No",5,5,3.34,47.6,1140,2.4,3.2
"Delivery","Electronic City","No","No",5,109,3.33669724770642,25.7614678899083,425.229357798165,1.22018348623853,2.21100917431193
"Delivery","Koramangala 5th Block","No","No",1,3,3.33333333333333,7.66666666666667,300,1,2
"Dine-out","Indiranagar","Yes","No",2,12,3.325,206.833333333333,491.666666666667,4.25,2.25
"Delivery","Bellandur","No","No",1,58,3.31896551724138,37.7758620689655,395.344827586207,1.44827586206897,2.03448275862069
"Delivery","Jayanagar","No","No",1,21,3.31428571428571,29.1428571428571,371.428571428571,1.33333333333333,2
"Delivery","Bannerghatta Road","No","No",1,102,3.31176470588235,36.343137254902,406.862745098039,1.46078431372549,2.13725490196078
"Dine-out","Bellandur","Yes","No",2,12,3.30833333333333,112.916666666667,558.333333333333,2.83333333333333,2.66666666666667
"Delivery","Brookefield","No","No",1,83,3.30481927710843,33.855421686747,436.746987951807,1.46987951807229,2.07228915662651
"Buffet","Electronic City","No","Yes",5,3,3.3,123,1183.33333333333,4.33333333333333,4.66666666666667
"Buffet","Church Street","No","No",4,1,3.3,13,600,1,3
"Desserts","Koramangala 7th Block","Yes","No",2,2,3.3,7.5,250,1,2.5
"Desserts","New BEL Road","Yes","No",1,2,3.3,108,400,1.5,1.5
"Dine-out","Koramangala 6th Block","No","No",2,2,3.3,4.5,800,1,2.5
"Dine-out","Sarjapur Road","No","No",2,7,3.27142857142857,22.1428571428571,400,1.14285714285714,1.85714285714286
"Dine-out","Old Airport Road","Yes","No",3,6,3.26666666666667,164.5,500,2.33333333333333,2
"Delivery","Banashankari","Yes","Yes",1,2,3.25,58,575,1,5
"Desserts","Koramangala 7th Block","No","No",2,2,3.25,9.5,175,1,1.5
"Desserts","Jayanagar","No","No",1,6,3.23333333333333,10.8333333333333,333.333333333333,1,2
"Cafes","Koramangala 7th Block","Yes","No",4,1,3.2,73,650,5,1
"Desserts","Indiranagar","Yes","No",1,2,3.2,98.5,525,4,2.5
"Desserts","Residency Road","No","No",1,1,3.2,6,200,1,3
"Dine-out","MG Road","Yes","No",2,2,3.2,97,725,3,2.5
"Pubs and bars","Indiranagar","No","No",1,1,3.2,8,1000,1,1
"Dine-out","Lavelle Road","Yes","No",2,3,3.2,23.6666666666667,316.666666666667,1,3
"Delivery","MG Road","Yes","No",1,2,3.15,32,475,2,2.5
"Buffet","Bannerghatta Road","Yes","No",4,2,3.15,278.5,575,4.5,3.5
"Desserts","JP Nagar","No","No",1,2,3.15,40.5,300,2,2
"Buffet","Brookefield","Yes","No",4,2,3.1,76,1000,3,2.5
"Delivery","Brookefield","No","Yes",1,1,3.1,19,400,1,3
"Delivery","Rajajinagar","Yes","Yes",7,1,3.1,405,800,7,3
"Dine-out","Frazer Town","Yes","No",2,6,3.1,110.666666666667,483.333333333333,2.66666666666667,3
"Cafes","MG Road","No","No",4,1,3,10,900,1,2
"Cafes","Rajajinagar","Yes","No",4,1,3,20,900,1,2
"Cafes","Residency Road","No","No",4,1,3,6,900,1,2
"Desserts","Koramangala 6th Block","No","No",1,1,3,66,250,2,2
"Dine-out","Residency Road","No","No",2,1,3,12,900,1,2
"Desserts","Electronic City","Yes","No",5,2,2.9,36.5,450,1,2.5
"Buffet","Indiranagar","Yes","No",4,1,2.9,319,1000,7,6
"Cafes","Jayanagar","Yes","No",4,1,2.9,33,650,1,1
"Cafes","Koramangala 5th Block","Yes","No",4,1,2.9,70,650,1,1
"Delivery","Whitefield","No","Yes",1,1,2.9,268,600,4,1
"Dine-out","Bannerghatta Road","No","Yes",2,1,2.9,200,1000,7,3
"Buffet","Electronic City","Yes","No",5,1,2.8,48,1000,1,7
"Delivery","Brookefield","No","Yes",7,1,2.7,442,900,7,1
"Delivery","MG Road","No","No",1,1,2.5,301,250,7,4
"Drinks & nightlife","Whitefield","No","No",2,1,2.5,81,800,2,4
